epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1132.07,1.33051,2.50044,2.15846,0.00396,1.83605,0.64304,0.55992,0.60568,0.4042,0.635,0.54293,0.57785,0.32546,1.26152,2.18309,1.61296,0.00648,0,0.009997,0.00333233,0.009997,0.00333233,0.009997,0.00333233,0.009997,0.00333233
2,1969.14,1.31317,2.32791,1.45792,0.00396,1.45803,0.65179,0.58995,0.63584,0.42748,0.64006,0.56973,0.60672,0.34633,1.28377,2.20697,1.39275,0.00679,0,0.0199936,0.00666454,0.0199936,0.00666454,0.0199936,0.00666454,0.0199936,0.00666454
3,2796.52,1.35763,2.3705,1.38691,0.00426,1.5505,0.64887,0.56648,0.61665,0.40259,0.64431,0.54132,0.585,0.321,1.36365,2.34062,1.42125,0.00771,0,0.0299766,0.00999222,0.0299766,0.00999222,0.0299766,0.00999222,0.0299766,0.00999222
4,3622.78,1.39534,2.41134,1.38579,0.00452,1.62241,0.64363,0.59072,0.63546,0.41604,0.64497,0.56179,0.60178,0.333,1.36281,2.29981,1.34466,0.00775,0,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
5,4449.27,1.38097,2.36882,1.32246,0.00445,1.55878,0.65297,0.59866,0.63884,0.4232,0.65021,0.58134,0.60999,0.34149,1.36728,2.27761,1.31085,0.0077,0,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
6,5280.41,1.37599,2.34684,1.28737,0.0044,1.49989,0.67961,0.60672,0.65653,0.42909,0.67821,0.58896,0.62561,0.34581,1.36317,2.28477,1.27352,0.00775,0,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765
7,6113.08,1.35742,2.31421,1.25322,0.00431,1.44284,0.66937,0.60328,0.64923,0.43448,0.66247,0.58217,0.61645,0.35258,1.34567,2.23452,1.26263,0.00757,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
8,6943.95,1.35588,2.30164,1.23926,0.00431,1.43222,0.6628,0.61071,0.64955,0.43191,0.66934,0.58217,0.61698,0.34862,1.35208,2.22717,1.2534,0.0077,0,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711
9,7766.83,1.35302,2.28735,1.22375,0.00434,1.41509,0.68053,0.64139,0.677,0.45287,0.66686,0.62028,0.6423,0.36308,1.33572,2.21045,1.21005,0.00753,0,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
10,8596.98,1.34657,2.27299,1.19667,0.00427,1.38347,0.69077,0.63219,0.67789,0.45676,0.67951,0.60998,0.6436,0.36828,1.33445,2.20246,1.21779,0.00746,0,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
11,9427.11,1.33637,2.2601,1.18082,0.0042,1.34648,0.67302,0.62707,0.67248,0.45636,0.66854,0.59902,0.63661,0.36651,1.32533,2.20088,1.20511,0.00739,0,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
12,10257.5,1.33932,2.25666,1.1773,0.00419,1.34104,0.70262,0.62983,0.68994,0.46874,0.68984,0.61402,0.65932,0.38107,1.31348,2.16952,1.17171,0.0073,0,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616
13,11088.5,1.32988,2.23703,1.15718,0.00418,1.31781,0.68775,0.64191,0.68992,0.46481,0.67616,0.62361,0.65566,0.37548,1.31997,2.17077,1.17853,0.00739,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
14,11914.2,1.32565,2.22749,1.15039,0.0042,1.31477,0.69674,0.63324,0.69065,0.47201,0.6877,0.6102,0.65415,0.3808,1.3133,2.15892,1.1687,0.00728,0,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608
15,12740.8,1.31874,2.21512,1.13758,0.00416,1.29382,0.69539,0.64353,0.69355,0.47224,0.68969,0.61721,0.66134,0.38341,1.30953,2.14406,1.15592,0.00723,0,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
16,13570.6,1.31709,2.20835,1.12631,0.00413,1.29439,0.71153,0.64377,0.70044,0.4767,0.70285,0.6238,0.66612,0.38767,1.30239,2.14356,1.14691,0.00716,0,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
17,14401.8,1.31954,2.21203,1.13506,0.00417,1.3091,0.72852,0.63202,0.69898,0.47646,0.71431,0.61394,0.66475,0.38625,1.3024,2.13814,1.15865,0.0072,0,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
18,15228,1.31656,2.19898,1.12109,0.00416,1.2672,0.70762,0.65467,0.70982,0.4869,0.70614,0.62924,0.67792,0.39426,1.29681,2.12158,1.13189,0.00713,0,0.0285534,0.0095178,0.0285534,0.0095178,0.0285534,0.0095178,0.0285534,0.0095178
19,16055.6,1.30595,2.18928,1.1101,0.00414,1.25007,0.71949,0.65656,0.71231,0.48825,0.70914,0.6338,0.67625,0.39271,1.28614,2.10999,1.12669,0.0071,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
20,16885.3,1.31209,2.1992,1.11603,0.00415,1.26208,0.71846,0.66056,0.71436,0.49432,0.70258,0.63586,0.67652,0.39857,1.28867,2.10858,1.11385,0.00701,0,0.0282004,0.00940014,0.0282004,0.00940014,0.0282004,0.00940014,0.0282004,0.00940014
21,17716.3,1.31015,2.19121,1.10767,0.00413,1.25457,0.72224,0.66121,0.72015,0.49601,0.71757,0.63796,0.68855,0.40297,1.28436,2.09403,1.09315,0.00699,0,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
22,18548.6,1.30671,2.17541,1.10449,0.0041,1.2372,0.73113,0.65357,0.72031,0.49585,0.72939,0.62727,0.68568,0.40298,1.28852,2.08537,1.10179,0.00707,0,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
